genre,name,description,followers
Chill/Mainstream,,"**Booking** 
gamperanddadoni@benkenstein-management.com
**Management**
gamperanddadoni@guerilla-management.com

„No music – no life“.

The love of music has always been the driving force behind everything Gamper & Dadoni do.

One a student of music and the other audio engineering, the two young artists from Hamburg (Germany) started as a Producer/DJ team in spring 2013 and were soon generating over 100 million plays on YouTube and Soundcloud.

Their sound is a thrilling mixture of melodic and funky house that has rapidly gained the support of world renowned DJs such as Kygo, Klingande, Lost Frequencies, Robin Schulz, Felix Jaehn and Michael Calfan - all of whom regularly play their tracks.

Over the last 12 months Gamper & Dadoni have played over 60 shows in more than 15 countries and whether it's Paris, London, Dublin or Berlin the duo always leave their mark.

So prepare yourself for a musical journey that will captivate your senses and let you lose yourself to dance.",129448
Hip-Hop,Tom Costello,"Producer • Beatmaker • LDN

BOOKINGS: etched@reprezent.org.uk

Releases:- Enclosed (EP), Glass House (EP), Tell U (EP), Tracks, Ideas & Remixes 2012/14(All previous Soundcloud tracks), Pixelated (Album), Dreaming (EP)

https://etchedofficial.bandcamp.com/

Support from:- B.Traits, Skream & Benga, Huw Stephens, BBC Radio 1 & 1XTRA, Kito & Reija Lee, Souletiquette, Jamz Supernova, Future Bounce",119009
Creative,BRO SAFARI,"BOOKINGS: Ben@CircleTalentAgency.com
MGMT: hrh@tmwrk.net",311144
Creative,,"Production Duo

Buy 'In Return' on iTunes: 
http://odesza.co/inreturnitunes

Free 'Summer's Gone' DL:
http://www.odesza.com

North America Booking: 
jay@windishagency.com

Rest of World Booking: 
cris.hearn@codaagency.com

Mgmt: 
adam@redlightmanagement.com",530125
Creative,,"Set Music Free | Join The Revolution.
#LaRevolucion // #Summerhouse
All Tracks are Pre-released @ 
> http://bit.do/JoinTheRevolution <

Set Music Free | Submit Your Music http://artistsunlimited.co
Submit your music to us, we consider everything sent and do our best to support aspiring artists &lt;3 latropicalofficial@gmail.com

Our Mixtapes --&gt; @latropicalmixes

A Group of Creatives.
We Discover &amp; Support Artists.
Everything else is just noise

Enjoy

- - - Peace &amp; Love - - - 
Summer is here, 
Let's make the sun shine.

Aspire to create.
Respect the Art.
Live Free.

This is about the music, the people who make it and the people who love it - #listenwithyourheart not your eyes. 

Revolutionizing with vision
P O W E R . TO THE . P E O P L E
",127687
Creative,Nicholas Miller,"There are melodic bass producers, and then there is Nick Miller. The Denver-based producer known as Illenium has been turning heads in the dance music community over the past year and for good reason. Illenium has distinguished himself from the myriad of others through an unrivaled ability to create an immersive emotional experience of highs and lows that pulls on the heart strings and leaves the listener awestruck, accomplishing in the span of just a few short minutes what takes many a full set. He has displayed an adeptness for creating aural arrangements that vary in style, yet always maintain beauty, complexity and emotional depth. Illenium gave the world a taste of what he has to offer in 2014 with standout originals “Falling In,” “So Wrong,” “Make Me Do;” remixes of Dawn Golden, Odesza, Oh Wonder; and performances at Global Dance Festival, Decadence NYE and other select dates. However, as foreshadowed by his inclusion in UKF’s “Ones to Watch: 15 for 2015,” this is poised to be Illenium’s breakout year.

MGMT - Ha | ha@illenium.com

FEEL FREE TO UPLOAD ANY OF MY ORIGINALS TO YOUTUBE!!! THANKS FOR THE SUPPORT!! :)
",132107
Creative,Oliver Hucci,"▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬
MGMT: hucci@veyronarche.com

DJ Sets:
N&S America + Asia ~ 
hunter.williams@caa.com

Rest of World ~ 
hucci@veyronarche.com
+ ryan@veyronarche.com
▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬",292272
Creative,,"The Been A While EP is out now! Stream & download here: http://samfeldt.lnk.to/BeenAWhileEP

✉ Bookings Europe, Africa, Middle East
roman.trystram@caa.com

✉  Bookings ROW
mmeyer@amonly.com
cody@amonly.com

✉  Management
info@musicallstarsmgmt.com",184776
Creative,,"management: jordan@galimatiasmusic.com

booking:
NA/SA: hunter.williams@caa.com
ROW: roman.trystram@caa.com
",117244
Creative,alex crossan,"
19 year old beat slayer heart breaker producer singer writer lover

MGMT        - |  sam@nativemgmt.co.uk


",174369
Creative,,"**PRODUCER TRYNA WRITE HITS**

MGMT: hrh@tmwrk.net 

BOOKING:

N/S America: evan@windishagency.com 
Rest of World: craig@primarytalent.com",123401
Creative,Zac Claxton,"●  Bookings, releases/remixes, business etcetc.. ""Subject: Electrode""   Contact: mngmt@electrostepnetwork.net
● Add me on Snapchat, my username = zacelectrostep

My name is Zac I'm 20, I own a Record label called @ElectrostepNetwork among others as well as manage artists.

● Demo info *NOTE* We only accept UNRELEASED demos for our label, no bootlegs or unofficial remixes, ORIGINALS ONLY. We will get back to you if we are interested. Email demos only here: demos@electrostepnetwork.net

● For anything regarding anything for these artists on our roster please, email mngmt@electrostepnetwork.net
 - Demos: demos@electrostepnetwork.net
@ElectrodeOfficial (USA)
@Carbin-Official (USA)
@OscillatorZ (USA)
@ImReach (USA)
@FurnAndBmo (CAN)
@FrankRoyal (USA)",107461
Creative,sam gellaitry,"https://samgellaitry.lnk.to/zZjCM 

1997

twitter

https://www.twitter.com/SamGellaitry

contact:

samgellaitry@gmail.com

https://www.facebook.com/samgellaitry

instagram

@djsammygee

",125810
Creative,,"Booking France / Begium 
simon.bierlaire@miala.fr
---------
Booking Europe  
martje@decked-out.co.uk
---------
Booking (North & South America)
evan@windishagency.com
---------
Management :
manu.barron@savoirfairecie.com
 ---------
Label : Roche Musique
https://www.facebook.com/rochemusique",136623
Creative,,"singer x songwriter x producer

MANAGEMENT:
julian@overagency.com

",146263
Creative,Alok Petrillo,"Follow my label: @upclubrecords

Bookings:  contato@plustalent.art.br 
+55 (11) 3376-9900
",208985
Creative,,"Making Beats & Rhymes since 1995
C2C ・ Hocus Pocus・On And On
・・・・・・
Management :
yann@onandon-records.com

Label :
http://www.onandon-records.com",185176
Creative,follow us @adventuredub,"Adventure Club is:
Christian Srigley &amp; Leighton James

www.WeAreAdventureClub.com

Management: <a href=""mailto:robbie@stndrdgrp.com"" rel=""nofollow"" target=""_blank"">Robbie Sabato at The Standard Group</a>

BOOKINGS:
North America <a href=""mailto:PWiederlight@wmeentertainment.com"" rel=""nofollow"" target=""_blank"">Pete Wiederlight at William Morris</a>
Rest of the world <a href=""mailto:blong@wmeentertainment.com"" rel=""nofollow"" target=""_blank"">Brendan Long at William Morris</a>
",548153
Trap,Tom Misch,"20 yrs old producer/multi-instrumentalist/singer

Beat Tape 2 is out now

Pre Order Vinyl: http://smarturl.it/beattape2vinyl
iTunes - http://smarturl.it/beattape2
Spotify - http://smarturl.it/BT2s

management  > Duncan Murray - mgmt@tommisch.com

bookings > natasha.bent@unitedtalent.com / noah.simon@unitedtalent.com

press > sinead@bleachedcommunications.com


 







",118011
Chill/Mainstream,PeaceTreaty (Official),"Please send all PROMOS to:
peacetreatypromos@gmail.com

Bookings/ Management:  Jaso@techniquemanagement.com 

Be sure to follow us on:
Twitter: twitter.com/TheePeaceTreaty
Instagram: instagram.com/peacetreatyla
Facebook: www.facebook.com/PeaceTreaty

",892013
Chill/Mainstream,,"Follow my label @cover-the-earth-label

Hectic has dropped a wide variety of tracks over the last few years, ranging from dubstep to garage and UK bass music. Previous releases including ''The Ripper'', ''Hard'', ''My Universe'' (featuring UK MC Janset) and ''Cyber Girl'', as well as various tracks on DJ Hatcha's label, Hatched, delivered a raw, uncut and heavy dubstep workout to the dance floors. Hectic also has an ever growing collection of remixes created for the likes of Modern Machines, The Freestylers, Adi Ulmansky, Veronika Vesper, Lindsay Mac, Them&Us, Lihot and Monkixx. He has received radio play and support from DJs on BBC Radio 1Xtra, Kiss FM, XFM, Sub FM and Reprezent Radio. This year, Hectic has set up his own label, Cover The Earth, which will aim to release forward thinking music from all realms of the spectrum. The first release on the new label will be ''Golden''. A collaboration project between Hectic and American/Australian singer and songwriter, Camille, due out in April. Setting the pace with relentless beats in a spacious and rough soundscape, it is clear that Hectic gives a new twist to multiple bass oriented genres.

Contact email: hectictracks@gmail.com

",588025
Chill/Mainstream,Oliver Nelson,"Management: 
adam.griffin@perfecthavoc.com.

PR: 
robert.davies@perfecthavoc.com

For Worldwide Bookings: 
Steve Hogan @ WME
sjh@wmeentertainment.com

About me:

Oliver Nelson, born & raised in Stockholm, Sweden. Played drums since i was eight years old and began producing electronic music at the age of seventeen. 
Funk / Disco / Nu-Disco / Electro is my favourite genres, and it has been for many years. I love my fans, and thank you for all the support. 

- O.N",104718
Chill/Mainstream,,"MANAGEMENT : 
info@the-magician.be
pm@machinemanagement.co.uk

EUROPE, ASIA BOOKING :
kane@codaagency.com
AMERICA BOOKING : 
brad@windishagency.com

Tour Dates 2016 :

04 Mar : Selected. @ Kaufleuten, Zurich - Switzerland
11 Mar : District 3, Tampa - US
15 Mar : POTION POOL @ Delano, Miami - US
18 Mar : Heldeep @ Nautilus, Miami - US
20 Mar : Spinnn Deep @ Nautilus, Miami - US
26 Mar : Bloody Louis, Brussels - Belgium
27 Mar : Paaspop, Schijndel - Netherlands
31 Mar : Studio, Hong Kong - HK
01 Apr : Red Room, Seoul - South Korea
02 Apr : Vision, Tokyo - Japan
23 Apr : The View, Juan Les Pins - France
01 May : My House @ O2 Academy, Newcastle - UK
12 May : Velvet Underground, Toronto - Canada
13 May : New City Gas, Montreal - Canada
14 May : EDC NY, New York - US
21 May : Convergences Festival, Bordeaux - France
29 May : Lost Village, Lincoln - UK
04 Jun : Amsterdam Open Air, Amsterdam - Netherlands


",212092
Hip-Hop,,"Music Manipulation Specialist

1 half of @soundsnobz

Management vandana@sunsetentertainmentgroup.com

Bookings 
jay@windishagency.com
daveb@codaagency.com

#MyStyle

T-R-O-Y-B-O-I",292609
Hip-Hop,,"~~~
mgmt :::
tom@astralpeople.com

bookings Aus/NZ/Asia :::
al@makeragency.com

bookings USA/Canada/Mexico :::
latane@windishagency.com / tom@windishagency.com

email me :::
waveracermusic@gmail.com",132765
Hip-Hop,,"2 teenage producers/djs

Pre-order 'All I See' on iTunes - smarturl.it/BondaxAllISee
Management: chris@tapmgmt.com
Bookings:
World excl. N. America: Nick@CodaAgency.com
N. America:
APinkus@paradigmagency.com
callender@amonly.com
",5609994
Hip-Hop,,"SOULECTION.

Management: mgmt@esta.sucks
Bookings: Justin@windishagency.com
Press: Jacqueline@Soulection.com ",172932
Hip-Hop,,"my name is Joshua & I make things 

'a thing by oshi' coming soon

co-founder: @noirsound

listen to me rap doodoo: @yung-nostril

contact me:
inquiries4oshi@gmail.com 

north & south america bookings:
matt@amonly.com & tim@amonly.com

everywhere else: 
cris.hearn@codaagency.com
",100669
Hip-Hop,,"Promos: PROMOS4DJEMBA@gmail.com
North America Booking: john@amonly.com
EU: cris.hearn@codaagency.com
MGMT: david@idklolmgmt.com",109717
Hip-Hop,blackbear,"drink bleach ep coming soon


all inquiries: 
blackbear@erisemanagement.com
",171363
Trap,,"Party Bass.

BOOKING INFO:
North America
Latane Huges
Windish Agency
latane@windishagency.com

MANAGEMENT:
Ryan Thomas
ryan@partyfavormusic.com

Press:
press@partyfavormusic.com

Promo Submissions:
promo@partyfavormusic.com

www.partyfavormusic.com",104369
Festival,Bombs Away,"MGMT, TOURS, RMX  artists@strike3productions.com
Follow our Label -->   @bombsquadpresents

♥Facebook
www.facebook.com/bombsawaymusic

♥Twitter
bombsawaymusic

♥Join DJ promo list
www.jotform.com/form/10992734273

♥SnapChat: 
Bombsawaysnaps

♥Youtube!
http://www.youtube.com/s3tvproductions

♥Beatport
http://www.beatport.com/artist/bombs-away/156230


♫WTF IS BOMBS AWAY M9? GET REKT♫

ARIA nominated, Multi-Platinum Selling Bad Role Models. 

Along with Breakout Dance track on the Billboard charts, BOMBS AWAY and are one of the few acts to hold down 5 concurrent Top 10's on ARIA, iTunes, Beatport, Trackitdown & DJDownload charts.    Bassline Maniacs, Samurai Bounce, Better Luck Next Time, Party Bass,  Get Stoopid, Swagger, Big Booty Bitches & Supersoaker are rocking high rotation play across the world on MTV, Channel V, Rage & Video Hits, Nova, Take 40,  The Bump, party People, Hot Hits Live from LA, and Ministry of Sound radio and their poo culture remix vids have reached over 150Million people.

BOMBS AWAY were voted #1 Artist in Australia and #32 Worldwide on THEDJLIST and took out #1 State and #9 Nationally for the INTHEMIX awards!  They also hit #1 Australian Dance Single on the ARIA Charts and #1 Club Track, plus multiple Platinum & Gold Records.

Bombs Away's tracks have been supported by TJR, Diplo, Porter Robinson, Calvertron, Krafty Kuts, Dirtyloud, Disco Fries, Oh Snap and a crateload of heavy-hitters. 

Along with remixing & gettting remixed by names like  Diplo who released an edit of Big Booty Bitches, Laidback Luke, Freestylers, Redfoo, Krafty Kuts, Marvin Priest, Stanton Warriors, Coolio, Ceelo Green, Kylian Mash & Akon, DirtyLoud, Katy perry, Mike Posner, Oh Snap!, Disco Fries, Clinton sparks and Madonna, and tracks being featured on the US NBA FInals, V8 Supercars, The Morning Show, Worlds Strictest Parents, Pimp My Ride and synched to a pile of TV & radio ads, theres no doubt you've heard their signature sound before.

www.letmeseeyourswagger.com",150401
Trap,,"DSCVR Sounds - helping you dscvr the latest Sounds & emerging artists. #DSCVRSounds

Submit your track to: submit@dscvrsounds.com

DSCVR Channels:
@dscvrsounds
@dscvrfuturehouse
@deephouse
@dscvr
@dscvrmelbourne
@dscvrtropical
@dscvrdubstep
@dscvrtrap
@dscvrbreaks
@dscvrpop
@dscvrhiphop
@dscvrmixes
@dscvrremixes
@dscvrbasshouse
@dscvrfuture
@dscvrsamples
@dscvrhardstyle
@dscvrtrance
@dscvrrock
@dscvrprogressive

Labels:
@NextgenRecords

Brands
@jamvana",122469
Trap,Grandtheft,"USA/SA BOOKINGS: 
hunter.williams@caa.com
EUR/ASIA/AUS BOOKINGS
craig@primarytalent.com
CANADA BOOKINGS: 
perry@madison-house.com

MANAGEMENT:
kirsten@2plustwo.com
adam@embracepresents.com

RELEASES ON:
Mad Decent, Spinnin, Main Course, Top Billin, T&A, Plant Music

REMIXES RELEASED ON:
Def Jam, Columbia, Ultra, Mad Decent, Fool's Gold, Dim Mak, Universal, Atlantic, Mercury",132135
Chill/Mainstream,JRabbit,"www.facebook.com/jrabbitmusic
www.twitter.com/jrabbitmusic
snapchat/IG: jrabbitmusic

contact: info@thrivemusic.com
booking: alex@warpathgroup.com


JRabbit first came into the scene in 2009, with his remix for B.Rich on Party Like Us Records. Shortly after he began working with Reidspeed and her label, Play Me Records, first with the ep I'm so Happy. Then again in 2010 with the Mustardayonnaise EP done with contributing artist Tremourz. He worked with Tremourz again in 2010, with his break through single, Sexy Party. The song gained lots of support from acts like Bassnectar, Excision, Skrillex and many more.
In 2011, JRabbit finished a bootleg of Benny Benassi's classic song, Satisfaction. The song gained lots support from acts such as Diplo,Laidback Luke,Benny Benassi and many more. The song's popularity lead to it's eventual, official release on Ministry of Sound's The Sound of Dubstep Vol. 3.
In later 2011, JRabbit joined Skrillex on his Mothership Tour. Playing alongside 12th Planet, Nadastrom, Dillon Francis, Knife Party and more. The tour covered the United States and Canada and was described by many ""unforgettable"" and ""ground breaking"".
In 2012, JRabbit started to blend genres, starting with his Ninja Step EP on Play Me Records. He had other successes with EPs and remixes in 2012 and a single on OWSLA but his next two breakthrough tunes, were his moombahcore bootlegs of Fresh Prince of Bel Air and Del the Funky Homosapien's Mistadobalina. Which gained lots of dj support and attention.
Also in 2012 he toured with Flux Pavilion and Brown and Gammon, on Flux's Standing on a Hill Tour and with Sluggo and Helicopter Showdown on the No Hostages Tour.
Later that year, JRabbit remixed Korn's Narcissistic Cannibal, which was a collaboration with Skrillex, Kill the Noise. The remix was later featured on UKF.
In early 2013, he tour with Big Chocolate on their American Hustle Tour.
he began to blend genres even more with releases on Buygore and Dim Mak. Also with remixes for Ali Love, Flinch, Helicopter Showdown and more. In the summer he released a bootleg of Tequila which gained huge support and popularity both online and at festivals. Now with over 4.5 million views on youtube it has not only become a jrabbit classic, but a staple in trap remixes.
In 2014, JRabbit toured with Terravita on their ""Rituals Tour"". Shortly after tour, JRabbit released an EP with Slow Roast Records, ""Peyote Soda EP"".
Now in 2015, after a brief hiatus, due to personal matters, JRabbit has teamed up with Thrive Records and is wrapping up his debut house album. ""Give it to Me"", the first single from the album, has been scheduled for release 6/30/15.",309873
Chill/Mainstream,Aaron Carmack,"INQUIRE: 

mpower@bloodcompany.net

get to know me: @FORWARDTHINKERS

download:

- DRUGS EP
- Dimebag EP
- Reality EP
- Life/Death EP
- Bang, Vol. 3
- Blu EP
- Vibes, Vol. 2
- Melodies, Vol. 1
- Frozen EP

here: 

mrcarmack.bandcamp.com/

#FORWARDTHINKERSGROUP
@_mrcarmack
bookings, remixes, leasing: mrcarmackmusic@gmail.com


one",258846
Chill/Mainstream,,"MANAGEMENT:
Adam Gill @ 2+2 Management
adam@2plustwo.com

BOOKING :
USA, CANADA: 
Kevin Gimble / Circle Talent Agency 
kevin@circletalentagency.com 
http://www.circletalentagency.com/  

EUROPE, ASIA, OCEANIA: 
James Mac / Paramount Artists 
james@paramountartists.com 
http://www.paramountartists.com/  

FRANCE: 
Olivier Calendini / Chwet Productions 
olivier@chwetproductions.com 
http://chwetproductions.com/",139007
Creative,TOKiMONSTA,"Booking:
N. & S. America -
 lee@amonly.com  cc: ambar@amonly.com	
Rest of the World - 
cris.hearn@codaagency.com  cc: cecilia.chan@codaagency.com

Serious Inquires / Management - 
Worldwide - Lewis Kunstler la@svcunltd.com",211461
Hip-Hop,,"It's about leaving your mark on the world. It's about leaving your Autograf. 

www.LeaveYourAutograf.com/Tour

Tour Video: youtu.be/0d-zo18TpQE

Snapchat: AutografMusic

Booking (North America): 
hunter.williams@caa.com
alex.becket@caa.com

Booking (Rest of World): 
roman.trystram@caa.com

Management: 
olly@thevolumegroup.com
ed@thevolumegroup.com

Press:
autograf.team@listen-up.biz",110100
Chill/Mainstream,,"MGMT: 
sebastian@stndrdgrp.com

BOOKING N.A: 
PWiederlight@wmeentertainment.com

I make music and people dance to it.",230049
